source_lemma,target_translation
kultura kulovitých amfor,Globular Amphora Culture
kultura münchshöfenská,Münchshofen Culture
kultura nuova,Noua culture
kultura nálevkovitých pohárů,Funnel Beaker Culture
kultura oberlauterbašská,Oberlauterbach culture
kultura pomořanská,Pomeranian culture
kultura potiská,Tisza culture
kultura praha-korčak,Prague-Korchak culture
kultura pražského typu,Prague-type pottery group
kultura przeworská,Przeworsk Culture
kultura púchovská,Púchov Culture
kultura retz-bajč-křepice,Retz-Bajč-Křepice (Furchenstich) Culture
kultura s kanelovanou keramikou,cannelated ware culture
kultura s kardiovou keramikou,Cardial culture
kultura s lineární keramikou,Linear Pottery Culture
kultura s moravskou malovanou keramikou,Moravian painted ware culture
kultura s moravskou malovanou keramikou 1,Moravian Painted Ware Culture 1
kultura s moravskou malovanou keramikou 2,Moravian Painted Ware Culture 2
kultura s vypíchanou keramikou,Stroke Pottery Culture
kultura sabatynivka,Sabatinovka culture
kultura se šňůrovou keramikou,Corded Ware Culture
kultura starčevo-kriš,Starčevo–Körös–Criș culture
kultura zvoncovitých pohárů,Bell Beaker Culture
kulturní adaptace,cultural adaptation
kulturní antropologie,cultural anthropology
kulturní determinismus,cultural determinism
kulturní dezintegrace,cultural disintegration
kulturní difuze,trans-cultural diffusion
kulturní dědictví,cultural heritage
kulturní dějiny,cultural history
kulturní fatalismus,cultural fatalism
kulturní geografie,cultural geography
kulturní identita,cultural identity
kulturní inovace,cultural innovation
kulturní jev,cultural phenomena
kulturní jádro,cultural core
kulturní konflikt,cultural conflict
kulturní kontakt,cultural contact
kulturní krajina,cultural landscape
kulturní oblast,culture area
kulturní okruh,culture circle
kulturní památka,listed monument
kulturní realita,cultural reality
kulturní relativismus,cultural relativism
kulturní systém,cultural system
kulturní tradice,cultural tradition
kulturní univerzálie,cultural universals
kulturní vrstva,cultural layer
kulturní vrstva/objekt,cultural layer/feature
kulturní vzor,pattern of culture
kulturní vzorce,cultural framework
kulturní šok,culture shock
kulturně historická archeologie,cultural-historical archeology
kultury popelnicových polí,Urnfield culture
kumáni,Cumans
kurfiřt,prince-elector
kurhan,kurgan
kuronsko,Courland
kurvatura,curvature
kurátorství sbírek,collection curatorship
kurátorství výstav,exhibition curatorship
kuvajt,Kuwait
kuše,crossbow
kvantitativní transformace,quantitative transformation
kvietismus,quietism
kvádové,Quadi
kyathos,kyathos
kyjatická kultura,Kyjatice culture
kyjevská rus,Kievan Rus'
kykladská kultura,Cycladic culture
kyklady (řecko : souostroví),Cyclades
kylix,kylix
kypr,Cyprus
kyrenaika,Cyrenaica
kyrgyzstán,Kyrgyzstan
kyselost půdy,soil acidity
kythéra,Kythira
kácení máje,Cutting down the maypole
kámen,stone
kámen broušený,polished stone
kámen drahý,gemstone
kámen drtidlo/žernov,grinding stone
kámen stavební,building stone
kámen štípaný,lithics
kárie,Caria
kárové,Carians
kázání,sermon
kós (řecko : ostrov),Kos
kúros,kouros
křemen,quartz
křemenec,quartzite
křesadlo,strike a light
křesadlo/ocílka,firesteel
křest,baptism
křest dětí,Infant baptism
křesťanská civilizace východní,Eastern Christian civilization
křesťanská civilizace západní,Western Christian civilization
křesťanská legenda,christian legend
křesťanská literatura,christian literature
křesťanská liturgie,Christian liturgy
křesťanská misie,Christian mission
křesťanská misionářka,Christian women missionary
křesťanská spiritualita,Christian spirituality
křesťanská teologie,Christian theology
křesťanské mnišství,Christian monachism
křesťanský klášter,Christian monastery
křesťanský kněz,Christian priest
křesťanský misionář,Christian missionary
křesťanský světec,Christian saint
křesťanství,Christianity
křišťál,quartz crystal
křtitelnice,baptismal font
kříž,Christian cross
kříž/boží muka,cross/calvary
křížek,cross
křížovníci s červenou hvězdou,Knights of the Cross with the Red Star
křížovníci s červeným křížem,Knights of the Cross with the Red Cross
křížovníci s červeným srdcem,Knights of the Cross with the Red Heart
křížová cesta,ways of the Cross
křížová výprava,crusade
kůl,pole
kůl/sloup,stake/post
kůlová jamka,stake hole
kůra,bark
kůň,horse
kůže,leather
lago di nemi (itálie : jezero),Lake Nemi
lahev,bottle
lakónie (řecko),Laconia
lamelová zbroj,segmented armour
lampa,lamp
lampa/kahan,lamp/burner
landfrýd,Landfrieden
langobardi,Langobards
laos,Lao People's Democratic Republic (the)
lapis manalis,manalis lapis
laponci,Sami people
laponská jídla,Lappish cookery
laponská literatura,Lappish literature
laponská mytologie,Lappish mythology
laponské náboženství,Lappish religion
laponské pověsti,Lappish legends
laponština,Sami languages
lastura,shell
latina,Latin
latinové,Latins
latinská starověká literatura,ancient Latin literature
latinské nápisy,Latin inscriptions
latinské písmo,Latin script
latinské starověké drama,ancient Latin drama
latinský starověký román,ancient Latin novel
latium,Latium
laténska kultura,La Tène culture
lavina,avalanche
lavrion (řecko),Laurium
lazariáni,Lazarians
lebés,lebes
ledovcový sediment,glacial deposit
ledovec,glacier
legionář,legionary
legát,Legat
lehký obvodový plášť,light curtain wall
lehnické knížectví,Duchy of Legnica
len,linen
lengyelská kultura,Lengyel Culture
lenní právo,feudal law
les,forest
lesbos (řecko : ostrov),Lesbos
lesché,lesche
lesní hospodářství,forest management
lesní hrabanka,woodland topsoil
lesotho,Lesotho
leszno,Leszno
letecká archeologie,aerial archaeology
letecká fotografie krajiny,aerial photograph of landscape
letecká fotografie lokality,aerial photograph of site
letecká fotografie metody,aerial photograph of method
letecká fotografie půdních příznaků,aerial photograph of soil marks
letecká fotografie sněžných příznaků,aerial photograph of snow marks
letecká fotografie stínových příznaků,aerial photograph of shadow marks
letecká fotografie vegetačních příznaků,aerial photograph of vegetation marks
letecká fotografie výzkumu,aerial photograph of fieldwork
letecká fotogrammetrie,aerial photogrammetry
letecké laserové skenování,irborne laser scanning survey
letecké snímkování,aerial photography
letecký průzkum,aerial survey
letnice,Pentecost
letokruh,tree ring
letopisy,annals
leták,leaflet
león,León
libanon,Lebanon
liber,libellus
libum,libum
liburnové,Liburnians
libye,Libya
libérie,Liberia
lichtenštejnsko,Liechtenstein
lid,people
lidová keramika,folk pottery
lidová kultura,folk culture
lidová malba,folk painting
lidová malba na skle,folk painting on glass
lidová píseň,folk song
lidová slovesnost,oral tradition
lidové divadlo,folk theatre
lidové hrnčířství,folk pottery
lidové umění,folk art
lidový tanec,folk dance
lidská oběť,human sacrifice
lidská rasa,human race
lidé v terénu,people in the field
ligurové,Ligures
liguríe,Liguria
limes romanus,Roman limes
limes romanus (německo),Roman limes (Germany)
limes romanus (rakousko),Roman limes (Austria)
limnos (řecko : ostrov),Lemnos
lineární konkávní útvar,linear concave feature
lineární konvexní útvar,linear convex feature
lineární písmo a,Linear A
lineární písmo b,Linear B
lineární převýšený útvar,linear mound
lineární systém,system of linear features
lineární zahloubený útvar,linear depression
lingvistika,linguistics
linie,linear feature
linie ohrazující,delimiting line
liniová stavba,line construction
liparské ostrovy (itálie),Lipari Islands
list (diplomatika),letter (Diplomatics)
listina,deed
listnatý les,leaf forest
literární pramen,Literary Source
litevci,Lithuanians
litevské velkoknížectví,Grand Duchy of Lithuania
litevština,Lithuanian
litina,cast iron
litosféra,lithosphere
liturgická symbolika,liturgical symbolism
liturgické jazyky,liturgical languages
liturgický obřad,liturgical ceremony
liturgický prostor,liturgical space
liturgický úkon,liturgical act
liturgie,liturgy
lituus,lituus
litva,Lithuania
liudolfovci,Ottonian dynasty
livonci,Livonian people
livonsko,Livonia
livonština,Livonian
lnářství,flax industry
loch,larder (cellar)
loděnice,dockyard
logografické písmo,ideographic script
lokalita,site
lokalita pod zástavbou,site in built environment
lokris,Locris
lokrové,Locrians
lokátor,lokator
lollardi,Lollards
lom,quarry
lombardie,Lombardy
lopata,shovel
lopata/rýč,shovel/spade
loretánská kaple,Loreto chapel
lotyši,Latvians
lotyšsko,Latvia
lotyština,Latvian
lov ptáků,bird catching
lov zvěře,animal hunting
lovci mamutů,mammoth hunters
lovec,hunter
lovecko-sběračská společnost,hunting and gathering society
lovecký zámek,hunting chateaux
lovectví,hunting
lovná zvěř,game
loď,ship
ložiska,deposits
ložisko břidlice,slate deposit
ložisko cínu,tin deposit
ložisko fosfátů,phosphate deposit
ložisko grafitu,graphite deposit
ložisko hnědého uhlí,brown coal deposit
ložisko jílu,clay deposit
ložisko kamenné soli,rock salt deposit
ložisko mramoru,marble deposit
ložisko mědi,copper deposit
ložisko nerostných surovin,deposit of raw materials
ložisko niklu,nickel deposit
ložisko pískovce,sandstone deposit
ložisko písku,deposit of sands
ložisko rašeliny,peat deposit
ložisko rtuti,mercury deposit
ložisko sirných rud,sulphur-ore deposit
ložisko stříbra,silver deposit
ložisko těžkých kovů,heavy metals deposit
ložisko uhlí,coal deposit
ložisko vltavínů,moldavite deposit
ložisko vápence,limestone deposit
ložisko zlata,gold deposit
ložisko černého uhlí,bituminous coal deposit
ložisko železných rud,iron ores deposit
ložisková geologie,economic geology
lucemburkové,House of Luxembourg
lucembursko,Luxembourg
luk,bow
lukánie,Lucania
lusitánie,Lusitania
lužice,Lusatia
lužická kultura,Lusatian Culture
lužní les,floodplain forest
lyceum,lyceum
lyra,lyre
láhev,bottle
látky (chemie),substances (chemistry)
lázeňský dům,spa house
lázně,spa
lékařský nástroj,medical device
léky,medicine
lékythos,lekythos
léno,fief
léčiva,medication
lútroforos,loutrophoros
lýdie,Lydia
lýkie,Lycia
lžíce,spoon
macao,Macao
madagaskar,Madagascar
maenianum,maenianum
magdalénien,Magdalenian
magdeburské právo,Magdeburg rights
magie,magic
magma,magma
magnesia,Magnesia
magnetická susceptibilita,magnetic susceptibility
magnetometr,magnetometer
magnetometrie,magnetometry
magnétové,Magnetes
majetnický a votivní depot,votive deposit
majkopská kultura,Maikop culture
majolika,maiolica
maják,lighthouse
makedonie,Makedonien
makedonské války (215-168 př. kr),Macedonian Wars (215-168 B.C.)
makrozbytková analýza,macroremains analysis
makrozbytky,macroremains
malajsie,Malaysia
malakofauna,mollusca
malakologie,malacology
malakozoologická analýza,malacozoological analysis
malawi,Malawi
malba,painting
malba na hedvábí,silk painting
malba na keramice,pottery painting
malba na mědi,painting on copper
malba na porcelánu,porcelain painting
malba na skle,glass painting
malba na textilu,textile painting
malba/freska,painting/fresco
maledivy,Maldives
mali,Mali
malopolsko,Lesser Poland
malovaná keramika,painted pottery
malta,Malta
maltézští rytíři,Knights of Malta
malá asie,Asia Minor
malá litva,Lithuania Minor
malé hospodářské zvíře,small livestock
malíř,painter
malířka,painter (female)
malířství,painting
malířství 19. století,19th century painting
malířství klasicismu,classicism painting
malířství realismu,realism painting
malířství romantismu,romantic painting
mamutovina,mammoth ivory
man,Isle of Man
manicheismus,Manichaeism
mansijština,Mansi
mansové,Mansi people
manýrismus,mannerism
manýristická architektura,mannerist architecture
manýristické malířství,mannerist painting
manština,"Gaelic, indigenous Manx"
mapa,map
mapová sbírka,map collection
mapový archiv,map archive
marginálie,marginalia
marijci,Mari people
marijská literatura,Mari literature
marijská poezie,Mari poetry
marijština,Mari
mariánský amulet,Miraculous Medal
markionismus,Marcionism
markomani,Marcomanni
"markomanské války, 166-180",Marcomannic Wars
markrabě,marquis
maroko,Morocco
marshallovy ostrovy,Marshall Islands (the)
marsové,Marsi
martinik,Martinique
maska,mask
maskaron,mascaron
masová kultura,popular culture
massagetové,Massagetae
matematická geografie,mathematical geography
materiál objektu/předmětu,feature/object material
materiálová analýza,material analysis
materiálové analýzy,material analysis
matriarchát,matriarchy
matrika,birth register
matrilinearita,matrilineal kinship
mauretánie (království),Mauretania
mauricius,Mauritius
mauritánie,Mauritania
mauzoleum,mausoleum
mayotte,Mayotte
mazanice,daub
mazdaismus,mazdaism
mazovsko,Mazovia
maďarovská kultura,Maďarovce culture
maďarsko,Hungary
maďaři,Hungarians
meander,meander
mecenáš,maecenas
mecenáška,maecenas (female)
med,honey
medaile,medal
medailon,medallion
medovina,mead
megalitická památka,megalith
megaris,Megara
megaron,megaron
megarská škola,Megaric (school of philosophy)
melting pot,melting pot
memorát,memorate
menhir,menhir
mensa,mensa
mentální mapa,mental map
menší odlehlé ostrovy usa,United States Minor Outlying Islands (the)
merovejci,Merovingian dynasty
merovejská kultura,Merovingian culture
messapiové,Messapii
messénie (řecko),Messenia
meta,meta
metalografická analýza,metallographic analysis
metalografie,metallography
metalurgická analýza,metallurgical analysis
metalurgie,metallurgy
metalurgie železa,iron metallurgy
metamorfovaná hornina,metamorphic rock
meteorologie,meteorology
metoda kolektivní biografie,Collective Biography
metoda orální historie,Oral History
metoda právní ikonografie,Legal Iconography
metoda sondy,Probe Method
metody (geologie),methods (geology)
metody (historiografie),methods (historiography)
metody (pedologie),methods (mineralogy)
metody (religionistika),methods (religious science)
metody (sedimentologie),methods (sedimentology)
metody a techniky geografického výzkumu,Methods and techniques of geographical research
metody etnologického výzkumu,methods of ethnological research
"metody, analýzy (antropologie)","methods, analysis (anthropology)"
"metody, analýzy (archeobotanika)","methods, analyses (archaeobotany)"
"metody, analýzy (demografie)","methods, analyses (demography)"
"metody, analýzy (dějiny umění)","methods, analyses (art history)"
metopa,metope
metropole,metropolis
mexiko,Mexico
mezinárodní smlouva,international treaty
mezní pás,field boundary
mezník,boundary stone
mezník/patník,milestone/boundary stone
mezolit,Mesolithic
mezopotámie,Mesopotamia
meč,sword
mečoví rytíři,Knights of the swords
mečíř,swordsmith
mešita,mosque
michelsberská kultura,Michelsberg Culture
micoquien,Micoquien
migrace do měst,cityward migration
migrace na venkov,countryward migration
migrace obyvatelstva,migration
mikrofosilie,microfossil
mikrofotografie,microphotograph
mikrohistorie,Microhistory
mikronésie,Micronesia (Federated States of)
mikrosondáž,shovel test
mikrosondáž/vzorkovací sondáž,shovel tests/test pitting
mikrostratigrafie,microstratigraphy
mikroštítek,microfiche
milavečská kultura,Milavče Culture
militaria,weapons and armour
milos (řecko),Milos
milosrdní bratři,Brothers Hospitallers
milíř,charcoal kiln
milířiště,charcoal kiln
minaret,minaret
mince,coin
mincmistr,mintmaster
mincovna,mint
mincovnictví,minting
mincovní poklad,coin treasure
mincovní váha,coin scale
mineralogická analýza,mineralogical analysis
mineralogická sbírka,mineral collection
mineralogie,mineralogy
minerál,mineral
minerální ložisko,mineral deposit
miniaturista,miniaturist
minojská kultura,Minoan culture
minoritský klášter,Minorite monastery
minorité,Minoriten
minsterberské knížectví,Duchy of Münsterberg
minyové,Minyans
misál,missal
mitra,mitra
miškovický typ,Míškovice Type
mladý paleolit,Upper Palaeolithic
mladší / pozdní eneolit,late / final eneolithic
mladší doba bronzová,Late Bronze Age
mladší doba halštatská (had2-3),late Hallstatt period (HaD2-3)
mladší doba halštatská (had2–3),Late Hallstatt Period (HaD2–3)
mladší doba hradištní,late hillfort period
mladší doba stěhování národů,Late Migration Period
mladší doba římská,Late Roman Period
mladší eneolit,Late Eneolithic
mladší paleolit,Upper Palaeolithic
mladší/pozdní doba laténská (ltc2-d),late/final La Tène period (LtC2-D)
mladší/pozdní eneolit,Late/Final Eneolithic
mladší–pozdní doba laténská (ltc2–d),Late–Final La Tène Period (LtC2–D)
mladší–pozdní eneolit,Late–Final Eneolithic
mlynář,miller
mlynářství,miller’s trade
mlýn,mill
mlýnský kámen,millstone
mnich,monk
mnichovo hradiště,Mnichovo Hradiště
mniška,nun (mniška/Nonne)
mnišský řád,monkish order
mnišský život,monkish life
mnišství,monasticism
moderní dějiny,late modern period
moderní společnost,modern society
modlitební kniha,prayer book
modlářství,idolatry
moesie,Moesia
mohyla,burial mound
mohylník,barrow cemetery
mohylové kultury,Tumulus culture
mojmírovci,House of Mojmír
mokřad,wetland
mola salsa,mola salsa
moldavsko,Moldova (the Republic of)
moldávie (historické území),Moldavia
molekulární genetika,molecular genetics
molossové,Molossi
monako,Monaco
monarchie,monarchy
monastýr,monastery (Eastern Orthodox Church)
mongolové,Mongols
mongolsko,Mongolia
mongolská filologie,Mongolian philology
mongolská literatura,Mongolian literature
mongolská mytologie,Mongolian mythology
mongolská poezie,Mongolian poetry
mongolské jazyky,Mongolian languages
mongolské malířství,Mongolian painting
mongolské písmo,Mongolian script
mongolské sochařství,Mongolian sculpture
mongolské umění,Mongolian art
mongolské výboje 1206-1405,Mongol invasion (1206-1405)
mongolské výtvarné umění,Mongolian visual art
mongolský epos,Mongolian epos
mongolský vpád na moravu (1241),Mongol invasion of Moravia (1241)
mongolština,Mongolian (Mongolian language)
monochord,monochord
monofyzitismus,Monophysitism
monogram,monogram
monopteros,monopteros
monoteismus,monotheism
monoxyl,logboat
montanismus,Montanism
montserrat,Montserrat
montánní archeologie,mining archaeology
moravské markrabství,Margraviate of Moravia
mordvini,Mordvins
mordvinská literatura,Mordvin literature
mordvinská poezie,Mordvin poetry
mordvinština,Mordvinic languages
moretum,moretum
morfologie člověka,human morphology
morfometrie,morphometry
morfoskopie,morphoscopy
morový sloup,plague column
mosambik,Mozambique
mosaz,brass
most,bridge
most/brod,bridge/ford
motte,motte
motyka,hoe
motyka/krumpáč,mattock/pickaxe
moustérien,Mousterian
mozaika,mosaic
mozaikář,mosaic craftsman
mozaikářství,mosaic working
mořské národy,Sea Peoples
mořský měkkýš,sea mollusc
mramor,marble
mulsum,mulsum
multikulturalismus,multiculturalism
mumie,mummy
municipium,municipium
muzejní dokumentace,museum documentation
muzejní sbírky,museum collection
muzejní spolek,museum association
muzejní společnost,museum society
muzejní výstava,museum exhibitions
muzeum,museum
muzeum/skanzen,museum/open-air museum
mužská spiritualita,men’s spirituality
mužský řeholní řád,male monastic order
myanmar,Myanmar
mykénská kultura,Mycenaean civilization
mykénská řečtina,Mycenaean Greek
myslivec,gamekeeper
myslivost,game management
mytické území,mythical place
májové obyčeje,May Day traditions
málo destruktivní metoda,less destructive method
médie,Media
médové,Medes
métróon,Metroon
mísa,bowl
místo sběru,collection site
místo těžby,extracting place
místo výroby,production place
místo zpracování,processing place
míšeňsko (německo : markrabství),Margraviate of Meissen
múseion,Museion
mýsie,Mysia
mýtné,toll
mýtní domek,toll house
mýtus,myth
mědikovec,coppersmith
měditepectví,copper beating
měkkýš,Mollusca
mělník-hořín,Mělník-Hořín
měna,currency
městečko,small town
město,city
městská brána,town gateway
městská hradba,city walls
městská kniha,town book
městská krajina,urban landscape
městská kronika,town chronicle
městská památková rezervace,urban monument reserve
městská pečeť,city seal
městská služba,city services
městská správa,municipal government
městské historické centrum,historical town centre
městské opevnění,town fortification
městské právo,city rights
městský hrad,town palace
městský palác,town palace
městský systém,city system
městský znak,city coat of arms
městský úřad,municipal office
měď,copper
měšťanská kultura,bourgeois culture
měšťanstvo,bourgeoisie
mše,Holy Mass
nabatejci,Nabataeans
nacionalismus,nationalism
nadkomunitní areál,supracommunity site
nadloží,overburden
nadzemní relikty,aboveground remains
namibie,Namibia
narthex,narthex
naturalismus (umění),naturalism (art)
natěračství,painter’s trade
nauru,Nauru
navarra,Navarra
navážka,backfill
nazarénismus (umění),nazarene movement
neapolsko (království),Kingdom of Naples
nedestruktivní archeologie,non-destructive archaeology
nedestruktivní metoda výzkumu,non-destructive method
nedestruktivní průzkum,non-destructive survey
nedokumentovaná akce,undocumented fieldwork
negativ barevný,colour negative
negativ černobílý (film),black-and-white negative (film)
negativ černobílý (sklo),black-and-white negative (glass)
nehotový výrobek/polotovar,semiproduct/blank
nejisté (50–95 %),uncertain (50–95%)
nejstarší náboženské systémy,oldest religious systems
neklidný terén,uneven surface
nekrologium,necrology
nemocnice,hospital
nemocniční řeholní řád,hospitaler order
nemovitá památka,heritage site
"není, nezjištěno",unavailable/unknown
neobarokní sloh,neo–Baroque
neodborné narušení,non-professional intervention
neogotický sloh,neo–Gothic
neogén,neogene
neolit,Neolithic
neolit-eneolit,neolithic-eneolithic
neolit–eneolit,Neolithic–Eneolithic
neorenesanční sloh,neo–Renaissance
neorománský sloh,neo–Romanesque
nepál,Nepal
nepálená cihla,mud-brick
nerelevantní,irrelevant
nerviové,Nervii
nespecifikovaný reliéfní útvar,unspecified terrain feature
nestoriánská církev,Nestorian church
nestoriánství,Nestorian
nestrukturovaný rozhovor,unstructured interview
neurónová aktivační analýza,neutron activation analysis
neurčený areál,unspecified site
neurčený dokument,unspecified document
neurčený materiál,unspecified material
nevolnictví,serfdom
nevolník,serf
nevěstinec,brothel
neznámá,unknown
neznámé počasí,unknown weather
neznámé uložení,unknown deposition
neznámý,unknown
neželezný kov,nonferrous metal
niello,niello
niger,Niger (the)
nigérie,Nigeria
nika,niche
nikaragua,Nicaragua
nikl,nickel
nil (řeka),Nile
niské knížectví,Duchy of Nysa
nitranská kultura,Nitra Culture
nitrianska kultura,Nitra culture
niue,Niue
nizozemsko,Netherlands (the)
nižší společenská třída,lower class
nižší šlechta,gentry
nobilitace,nobilitation
nobilitační listina,nobility document
norfolk,Norfolk Island
noricum,Noricum
normandie,Normandy
normané,Normans
norsko,Norway
northumbrie,Kingdom of Northumbria
notář,notary
notářka,woman notary
notářství,notary’s office
noviny,newspaper
novogotické písmo,Gothic writing
novověk,Modern
novověk - industriální období,Modern - industrial period
novověk 1,Modern Period 1
novověk 2,Modern Period 2
novověk–industriální období,Modern–Industrial Period
novozákonní apokryf,Apocryphal books (New Testament)
nová kaledonie,New Caledonia
nová věcnost (umění),Neue Sachlichkeit
nový rok,New Year
nový zéland,New Zealand
nožíř,cutler
nožířství,cutlery
numidie,Numidia
numismatická analýza,numismatic analysis
numismatická sbírka,numismatic collection
numismatika,numismatics
nummus,Nummus
nuragská kultura,Nuragic civilization
nymfeum,nymphaeum
nynická kultura,Nynice Culture
náboženská literatura,religious literature
náboženská pouť,religious pilgrimage
náboženská symbolika,religious symbolism
náboženské bratrstvo,fraternal organization
náboženský kult,cultic act
náboženství,religion
náboženství a společnost,religion and society
nábytek,furniture
nádoba,vessel
nádrž,reservoir
náhodný nález,chance find
náhodný zásah/nález,chance find
náhodný/povrchový nález,chance find
náholenice,greave
náhon,millrace
náhrdelník,necklace
náhrobek,tombstone
náhrobek/náhrobní kámen,gravestone
nákladní loď,cargo ship
nákončí,mordant
nákrčník,neck ring
nález v druhotné poloze,find in secondary context
nálezová správa,site report
nálezová zpráva,fieldwork report
námořní doprava,maritime transport
námořní obchod,maritime commerce
náměstí,square
nánožník,anklet
nápažník,armlet
nápis,inscription
nápoj,drink
náprsník,breastplate
náprstek,thimble
náramek,bracelet
národ,nation
národnost,nationality
národní kulturní památka,listed national monument
národopis,Etnography
národy (ugrofinové),people (Finno-Ugrians)
násep,bank
nástroj,tool
nástroj hrubý,utensil
nástroj jemný,instrument
nástupnické právo,succession law
nástěnná malba,mural painting
násyp,bank
nátepní destička,wrist guard
náušnice,earring
návratný výzkum,returnable research
názorný model,visual model
náčelnictví,chiefdom
nářadí,hand tool
nízká kvalita,poor quality
nízká výpovědní hodnota,low relevancy
nýt,rivet
někdy v letech,approximate years
německo,Germany
němčina,German
nůž,knife
nůžky,scissors
obchod,trade
obchodnice,merchantwoman
obchodní loď,merchant vessel
obchodní společnost,trade association
obchodní stezka,trade route
obchodní vztahy,trade relations
obchodník,merchant
obchůzky s figurou smrti,Drowning of Marzanna
období popelnicových polí,Urnfield Period
obdělávání půdy,farming
obecná genetika,general genetics
obecná hesla (geografie),general entries (geography)
obecná hesla (hydrologie),general entries (hydrology)
obecná hesla (společnost),general entries (society)
obecná paleobotanika,general paleobotany
obecná paleozoologie,general paleozoology
obecné (společenské třídy),general (social class)
obecné termíny (geologie),general terms (geology)
obecní kronika,municipal chronicle
oberlauterbašská skupina,Oberlauterbach Group
obilky/semena,caryopses/seeds
obilnice,granary
obilniny,cereals
obilí (zrno),corn
objekt,feature
objekt (antropologie),object (anthropology)
objekt (archeobotanika),object (archaeobotany)
objekt (demografie),object (demography)
objekt (dějiny umění),object (art history)
objekt (geografie),object (geography)
objekt (hydrologie),object (hydrology)
objekt (mineralogie),object (mineralogy)
objekt (paleontologie),object (palaeontology)
objekt (pedologie),object (pedology)
objekt (petrologie),object (petrography)
objekt (religionistika),object (religious science)
objekt (sedimentologie),object (sedimentology)
objekt na veřejném prostranství,feature on public area
objekt zemědělské výroby,agricultural feature
objekt/stopa výroby,production feature/trace
objekt/subobor (historiografie),object/subfield (historiography)
objekty (památková péče),objects (historic preservation)
oblačno,cloudy
"oblačno, zataženo","cloudy, overcast"
obléhací beran,battering ram
obléhací podloubí,siegecraft
obléhací stroj,siege engine
obléhací věž,siege tower
obléhací šípomet,scorpion
obléhání,siege
obnova a rekonstrukce památek,renewal and reconstruction of monuments
obolos,Obolos
obora,game park
obora (myslivost),game park
oborová terminologie,terminology (professional)
obrazový pramen,Visual Source
obrazový pramen symbolický,Symbolic Visual Source
obrazový pramen vlastní,Primary Visual Source
obročí,benefice
obrázkové písmo,ideograms
obsah (estetika),content (aesthetics)
obsidián,obsidian
obuv,footwear
obuvnictví,shoemaking trade
obuvník,shoemaker
obval,spoil bank
obvodový plášť,curtain wall
obytné budovy,residential building
obyvatelstvo,population
obyčeje konce masopustu,customs of the end of carnival
obyčejová tradice,cultural traditions
obývání,residential activity
občanské právo,civil law
obětiště,sacrifice site
oběť,sacrifice
obřad,ceremony
obřadní folklor,ceremonial folklore
obřízka,circumcision
oceánografie,oceanography
ochrana památek,protection of monuments
ocílka,firesteel
odborný záměr,expert project
odchylka desítky metrů,deviation in tens of meters
odchylka jednotky metrů,deviation in meters
odchylka stovky metrů,deviation in hundreds of meters
odhad dožitého věku podle kostry,age estimation of skeletal remains
odhad výšky postavy,stature estimation
odlesňování,deforestration
odlitek,casting
odlévací forma,casting mould
odlévání kovů,casting
odpad,waste
odpad stavební,construction waste
odpad výrobní,production waste
odpadní jáma,rubbish pit
odpadní vrstva,refuse layer
odpadní vrstva/souvrství,waste layer/sequence
odval,spoil tip
odvedenec,recruit
odúmrtní právo,escheat
oděv,clothing
ohniště,fireplace
ohradní zeď/plot,wall/fence
ohrazení kruhové malé,circular enclosure (small)
ohrazení kruhové střední,circular enclosure (medium)
ohrazení kruhové velké,circular enclosure (large)
ohrazení polygonální malé,polygonal enclosure (small)
ohrazení polygonální střední,polygonal enclosure (medium)
ohrazení polygonální velké,polygonal enclosure (large)
ohrazení pravoúhlé malé,rectangular enclosure (small)
ohrazení pravoúhlé střední,rectangular enclosure (medium)
ohrazení pravoúhlé velké,rectangular enclosure (large)
ohrazení/fortifikace,enclosure/fortification
ohrozimský typ,Ohrozim Type
oinochoé,oenochoe
ojedinělý nález,single find
ojratština,Oirat
okenní výplň,window panes
okr,ochre
okrasný objekt,decorative object
okrasný sad,ornamental orchard
okultismus,occultism
oldovan,Oldowan
olej,oils
olešnické knížectví,Duchy of Oels
oligarchie,oligarchy
olivy,olive
olovo,lead
oltář,altar
omán,Oman
omítka,plaster
onager,onager
onomastika,onomastics
opasek,belt
opat,abbot
opavské knížectví,Duchy of Troppau
opavské slezsko,Opavian Silesia
opevnění,fortification
opisthodomos,opisthodomos
opracování kamene,stone-working
optické vlastnosti minerálu,optical properties of mineral
opál,opal
opěrný pilíř,abutment
oradlo,ard
orba,plowing
orchéstra,orchestra
ordál,trial by ordeal
orfismus (umění),orphism (art)
organická chemie,organic chemistry
organický minerál,organic mineral
orientalismus,orientalism
orientační zjištění,brief evidence
orientální civilizace,oriental civilization
originál ztracen/zničen,original lost/destroyed
ornament,ornament
ornamentika,ornamentation
ornice,arable topsoil
orná půda,arable land
orografie,orography
ortodoxie,orthodoxy
ortofotomapa,orthophotomap
orální historie (etnologie),oral history (ethnology)
oskové,Osci
osové,Osi
ostatky svatých,relics of saints
osteologická analýza,osteological analysis
osteometrie,osteometry
osteozoologie,osteozoology
ostrogóti,Ostrogoths
ostroměřská skupina,Ostroměř Group
ostruha,spur
ostění,jamb
ostřivo,temper
osvícenský absolutismus,enlightened absolutism
osvětlování,light source
osídlený skalní prostor,cave settlement
osídlování,land settlement
othering,othering
otloukač,hammerstone
otomanská kultura,Ottomany culture
otonská architektura,Ottonian architecture
